filename,dc.subject,dc.language.iso,dc.type,dc.date.issued,dc.title,dc.contributor.author,dc.contributor.publisher
DP70007.xml,Communication and the Arts||Theater||Destruction||Eugene||Family||Neill||O||Plays||Sacrifice||Selected,English,Dissertation,1922,Sacrifice and destruction in selected family plays by Eugene O'Neill,"Bryan, Thelma Jane","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70008.xml,Health and Environmental Sciences||Pharmacology||Agents||Disguise||Disguising||Drugs||Efficacy||Employed||Evaluating||Means||Methods||Relative||Taste,English,Dissertation,1941,Agents and means employed to disguise the taste of drugs and methods for evaluating the relative efficacy of disguising agents,"Purdum, William Arthur","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70009.xml,Health and Environmental Sciences||Pharmacology||Pure Sciences||Organic chemistry||A||Chloromethyl||Further||Interest||Intermediates||Pharmacologic||Preparation||Study||Substances,English,Dissertation,1952,A further study of chloromethyl intermediates in preparation of substances of pharmacologic interest,"Liu, Wei-Chin","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70010.xml,Health and Environmental Sciences||Pharmacology||Pure Sciences||Organic chemistry||Pure Sciences||Analytical chemistry||Formation||Homologs||N||Tropanone,English,Dissertation,1944,The formation of tropanone and N-homologs,"Keagle, LeRoy Curtis","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70011.xml,Pure Sciences||Organic chemistry||Pure Sciences||Analytical chemistry||Arylglyoxylohydroxamyl||Halides||Reduction||Synthesis,English,Dissertation,1941,The synthesis and reduction of arylglyoxylohydroxamyl halides,"Levin, Nathan","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70012.xml,Pure Sciences||Organic chemistry||Pure Sciences||Analytical chemistry||Amides||Arylglyoxylohydroxamyl||Chlorides||Reduction||Studies,English,Dissertation,1948,Reduction studies on arylglyoxylohydroxamyl chlorides and amides,"LaRocca, Joseph Paul","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70013.xml,Pure Sciences||Analytical chemistry||Aminopropiophenone||Derivatives||P,English,Dissertation,1942,p-Aminopropiophenone and derivatives,"Foster, C. P.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70014.xml,Health and Environmental Sciences||Pharmacology||Halogen||Propadrines||Ring||Substituted,English,Dissertation,1942,Halogen ring substituted propadrines,"Zenitz, B. L.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70015.xml,Pure Sciences||Organic chemistry||Arylethanolamines||Further||Studies||Synthesis,English,Dissertation,1945,Further studies on the synthesis of arylethanolamines,"Simonoff, Robert","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70016.xml,Pure Sciences||Organic chemistry||Pure Sciences||Analytical chemistry||2||Ethanols||Preparation||Properties||Some||Trialkyl,English,Dissertation,1937,"The preparation and properties of some 2,2,2-trialkyl ethanols","Rice, R. V.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
